Tanggal;Harga;Merk;Pasar
17/04/2020;15000;Beras Cap Anak Daro;AR
20/04/2020;14250;Beras Cap Anak Daro;SR
20/04/2020;14500;Beras Cap Anak Daro;CP
20/04/2020;15000;Beras Cap Anak Daro;AR
21/04/2020;14250;Beras Cap Anak Daro;SR
21/04/2020;14500;Beras Cap Anak Daro;CP
21/04/2020;15000;Beras Cap Anak Daro;AR
22/04/2020;14250;Beras Cap Anak Daro;SR
22/04/2020;14500;Beras Cap Anak Daro;CP
22/04/2020;15000;Beras Cap Anak Daro;AR
23/04/2020;14250;Beras Cap Anak Daro;SR
23/04/2020;14500;Beras Cap Anak Daro;CP
23/04/2020;15000;Beras Cap Anak Daro;AR
24/04/2020;14500;Beras Cap Anak Daro;SR
24/04/2020;14500;Beras Cap Anak Daro;CP
24/04/2020;15000;Beras Cap Anak Daro;AR
27/04/2020;14250;Beras Cap Anak Daro;SR
27/04/2020;14500;Beras Cap Anak Daro;CP
27/04/2020;15000;Beras Cap Anak Daro;AR
28/04/2020;14250;Beras Cap Anak Daro;SR
28/04/2020;14500;Beras Cap Anak Daro;CP
28/04/2020;15000;Beras Cap Anak Daro;AR
29/04/2020;14250;Beras Cap Anak Daro;SR
29/04/2020;14500;Beras Cap Anak Daro;CP
29/04/2020;15000;Beras Cap Anak Daro;AR
30/04/2020;14250;Beras Cap Anak Daro;SR
30/04/2020;14500;Beras Cap Anak Daro;CP
30/04/2020;15000;Beras Cap Anak Daro;AR
01/05/2020;14500;Beras Cap Anak Daro;CP
04/05/2020;14250;Beras Cap Anak Daro;SR
04/05/2020;14500;Beras Cap Anak Daro;CP
04/05/2020;15000;Beras Cap Anak Daro;AR
05/05/2020;14250;Beras Cap Anak Daro;SR
05/05/2020;14500;Beras Cap Anak Daro;CP
05/05/2020;15000;Beras Cap Anak Daro;AR
06/05/2020;14250;Beras Cap Anak Daro;SR
06/05/2020;14500;Beras Cap Anak Daro;CP
06/05/2020;15000;Beras Cap Anak Daro;AR
07/05/2020;14500;Beras Cap Anak Daro;CP
08/05/2020;14250;Beras Cap Anak Daro;SR
08/05/2020;14500;Beras Cap Anak Daro;CP
08/05/2020;15000;Beras Cap Anak Daro;AR
11/05/2020;14250;Beras Cap Anak Daro;SR
11/05/2020;14500;Beras Cap Anak Daro;CP
11/05/2020;15000;Beras Cap Anak Daro;AR
12/05/2020;14250;Beras Cap Anak Daro;SR
12/05/2020;14500;Beras Cap Anak Daro;CP
12/05/2020;15000;Beras Cap Anak Daro;AR
13/05/2020;14250;Beras Cap Anak Daro;SR
13/05/2020;14500;Beras Cap Anak Daro;CP
13/05/2020;15000;Beras Cap Anak Daro;AR
14/05/2020;14250;Beras Cap Anak Daro;SR
14/05/2020;14500;Beras Cap Anak Daro;CP
14/05/2020;15000;Beras Cap Anak Daro;AR
15/05/2020;14250;Beras Cap Anak Daro;SR
15/05/2020;14500;Beras Cap Anak Daro;CP
15/05/2020;15000;Beras Cap Anak Daro;AR
18/05/2020;14250;Beras Cap Anak Daro;SR
18/05/2020;14500;Beras Cap Anak Daro;CP
18/05/2020;15000;Beras Cap Anak Daro;AR
19/05/2020;14000;Beras Cap Anak Daro;SR
19/05/2020;14500;Beras Cap Anak Daro;CP
19/05/2020;15000;Beras Cap Anak Daro;AR
20/05/2020;14250;Beras Cap Anak Daro;SR
20/05/2020;14500;Beras Cap Anak Daro;CP
20/05/2020;15000;Beras Cap Anak Daro;AR
21/05/2020;14500;Beras Cap Anak Daro;SR
21/05/2020;14500;Beras Cap Anak Daro;CP
21/05/2020;15000;Beras Cap Anak Daro;AR
22/05/2020;14250;Beras Cap Anak Daro;SR
22/05/2020;14500;Beras Cap Anak Daro;CP
22/05/2020;15000;Beras Cap Anak Daro;AR
25/05/2020;14500;Beras Cap Anak Daro;CP
26/05/2020;14250;Beras Cap Anak Daro;SR
26/05/2020;14500;Beras Cap Anak Daro;CP
26/05/2020;15000;Beras Cap Anak Daro;AR
27/05/2020;14250;Beras Cap Anak Daro;SR
27/05/2020;14500;Beras Cap Anak Daro;CP
27/05/2020;15000;Beras Cap Anak Daro;AR
28/05/2020;14250;Beras Cap Anak Daro;SR
28/05/2020;14500;Beras Cap Anak Daro;CP
28/05/2020;15000;Beras Cap Anak Daro;AR
29/05/2020;14250;Beras Cap Anak Daro;SR
29/05/2020;14500;Beras Cap Anak Daro;CP
29/05/2020;15000;Beras Cap Anak Daro;AR
01/06/2020;14500;Beras Cap Anak Daro;CP
02/06/2020;14000;Beras Cap Anak Daro;SR
02/06/2020;14500;Beras Cap Anak Daro;CP
02/06/2020;15000;Beras Cap Anak Daro;AR
03/06/2020;14250;Beras Cap Anak Daro;SR
03/06/2020;14500;Beras Cap Anak Daro;CP
03/06/2020;15000;Beras Cap Anak Daro;AR
04/06/2020;14250;Beras Cap Anak Daro;SR
04/06/2020;14500;Beras Cap Anak Daro;CP
04/06/2020;15000;Beras Cap Anak Daro;AR
05/06/2020;14250;Beras Cap Anak Daro;SR
05/06/2020;14500;Beras Cap Anak Daro;CP
05/06/2020;15000;Beras Cap Anak Daro;AR
08/06/2020;14250;Beras Cap Anak Daro;SR
08/06/2020;14500;Beras Cap Anak Daro;CP
08/06/2020;15000;Beras Cap Anak Daro;AR
09/06/2020;14250;Beras Cap Anak Daro;SR
09/06/2020;14500;Beras Cap Anak Daro;CP
09/06/2020;15000;Beras Cap Anak Daro;AR
10/06/2020;14250;Beras Cap Anak Daro;SR
10/06/2020;14500;Beras Cap Anak Daro;CP
10/06/2020;15000;Beras Cap Anak Daro;AR
11/06/2020;14250;Beras Cap Anak Daro;SR
11/06/2020;14500;Beras Cap Anak Daro;CP
11/06/2020;15000;Beras Cap Anak Daro;AR
12/06/2020;14250;Beras Cap Anak Daro;SR
12/06/2020;14500;Beras Cap Anak Daro;CP
12/06/2020;15000;Beras Cap Anak Daro;AR
15/06/2020;14250;Beras Cap Anak Daro;SR
15/06/2020;14500;Beras Cap Anak Daro;CP
15/06/2020;15000;Beras Cap Anak Daro;AR
16/06/2020;14250;Beras Cap Anak Daro;SR
16/06/2020;14500;Beras Cap Anak Daro;CP
16/06/2020;15000;Beras Cap Anak Daro;AR
17/06/2020;14250;Beras Cap Anak Daro;SR
17/06/2020;14500;Beras Cap Anak Daro;CP
17/06/2020;15000;Beras Cap Anak Daro;AR
18/06/2020;14250;Beras Cap Anak Daro;SR
18/06/2020;14500;Beras Cap Anak Daro;CP
18/06/2020;15000;Beras Cap Anak Daro;AR
19/06/2020;14250;Beras Cap Anak Daro;SR
19/06/2020;14500;Beras Cap Anak Daro;CP
19/06/2020;15000;Beras Cap Anak Daro;AR
22/06/2020;14250;Beras Cap Anak Daro;SR
22/06/2020;14500;Beras Cap Anak Daro;CP
22/06/2020;15000;Beras Cap Anak Daro;AR
23/06/2020;14250;Beras Cap Anak Daro;SR
23/06/2020;14500;Beras Cap Anak Daro;CP
23/06/2020;15000;Beras Cap Anak Daro;AR
24/06/2020;14250;Beras Cap Anak Daro;SR
24/06/2020;14000;Beras Cap Anak Daro;CP
24/06/2020;15000;Beras Cap Anak Daro;AR
25/06/2020;14250;Beras Cap Anak Daro;SR
25/06/2020;14500;Beras Cap Anak Daro;CP
25/06/2020;15000;Beras Cap Anak Daro;AR
26/06/2020;14250;Beras Cap Anak Daro;SR
26/06/2020;14500;Beras Cap Anak Daro;CP
26/06/2020;15000;Beras Cap Anak Daro;AR
29/06/2020;14250;Beras Cap Anak Daro;SR
29/06/2020;14500;Beras Cap Anak Daro;CP
29/06/2020;15000;Beras Cap Anak Daro;AR
30/06/2020;14250;Beras Cap Anak Daro;SR
30/06/2020;14500;Beras Cap Anak Daro;CP
30/06/2020;15000;Beras Cap Anak Daro;AR
01/07/2020;14000;Beras Cap Anak Daro;SR
01/07/2020;14500;Beras Cap Anak Daro;CP
01/07/2020;15000;Beras Cap Anak Daro;AR
02/07/2020;14000;Beras Cap Anak Daro;SR
02/07/2020;14500;Beras Cap Anak Daro;CP
02/07/2020;15000;Beras Cap Anak Daro;AR
03/07/2020;14000;Beras Cap Anak Daro;SR
03/07/2020;14500;Beras Cap Anak Daro;CP
03/07/2020;15000;Beras Cap Anak Daro;AR
06/07/2020;14000;Beras Cap Anak Daro;SR
06/07/2020;14500;Beras Cap Anak Daro;CP
06/07/2020;15000;Beras Cap Anak Daro;AR
07/07/2020;14000;Beras Cap Anak Daro;SR
07/07/2020;14500;Beras Cap Anak Daro;CP
07/07/2020;15000;Beras Cap Anak Daro;AR
08/07/2020;14000;Beras Cap Anak Daro;SR
08/07/2020;14500;Beras Cap Anak Daro;CP
08/07/2020;15000;Beras Cap Anak Daro;AR
09/07/2020;14000;Beras Cap Anak Daro;SR
09/07/2020;14500;Beras Cap Anak Daro;CP
09/07/2020;15000;Beras Cap Anak Daro;AR
10/07/2020;14000;Beras Cap Anak Daro;SR
10/07/2020;14500;Beras Cap Anak Daro;CP
10/07/2020;15000;Beras Cap Anak Daro;AR
13/07/2020;14000;Beras Cap Anak Daro;SR
13/07/2020;14500;Beras Cap Anak Daro;CP
13/07/2020;15000;Beras Cap Anak Daro;AR
14/07/2020;14000;Beras Cap Anak Daro;SR
14/07/2020;14500;Beras Cap Anak Daro;CP
14/07/2020;15000;Beras Cap Anak Daro;AR
15/07/2020;14000;Beras Cap Anak Daro;SR
15/07/2020;14500;Beras Cap Anak Daro;CP
15/07/2020;15000;Beras Cap Anak Daro;AR
16/07/2020;14000;Beras Cap Anak Daro;SR
16/07/2020;14500;Beras Cap Anak Daro;CP
16/07/2020;15000;Beras Cap Anak Daro;AR
17/07/2020;14000;Beras Cap Anak Daro;SR
17/07/2020;14500;Beras Cap Anak Daro;CP
17/07/2020;15000;Beras Cap Anak Daro;AR
20/07/2020;14000;Beras Cap Anak Daro;SR
20/07/2020;14500;Beras Cap Anak Daro;CP
20/07/2020;15000;Beras Cap Anak Daro;AR
21/07/2020;14000;Beras Cap Anak Daro;SR
21/07/2020;14500;Beras Cap Anak Daro;CP
21/07/2020;15000;Beras Cap Anak Daro;AR
22/07/2020;14000;Beras Cap Anak Daro;SR
22/07/2020;14500;Beras Cap Anak Daro;CP
22/07/2020;15000;Beras Cap Anak Daro;AR
23/07/2020;14000;Beras Cap Anak Daro;SR
23/07/2020;14500;Beras Cap Anak Daro;CP
23/07/2020;15000;Beras Cap Anak Daro;AR
24/07/2020;14000;Beras Cap Anak Daro;SR
24/07/2020;14500;Beras Cap Anak Daro;CP
24/07/2020;15000;Beras Cap Anak Daro;AR
27/07/2020;14000;Beras Cap Anak Daro;SR
27/07/2020;14500;Beras Cap Anak Daro;CP
27/07/2020;15000;Beras Cap Anak Daro;AR
28/07/2020;14000;Beras Cap Anak Daro;SR
28/07/2020;14500;Beras Cap Anak Daro;CP
28/07/2020;15000;Beras Cap Anak Daro;AR
29/07/2020;14000;Beras Cap Anak Daro;SR
29/07/2020;14500;Beras Cap Anak Daro;CP
29/07/2020;15000;Beras Cap Anak Daro;AR
30/07/2020;14000;Beras Cap Anak Daro;SR
30/07/2020;14500;Beras Cap Anak Daro;CP
30/07/2020;15000;Beras Cap Anak Daro;AR
31/07/2020;14500;Beras Cap Anak Daro;CP
03/08/2020;14000;Beras Cap Anak Daro;SR
03/08/2020;14500;Beras Cap Anak Daro;CP
03/08/2020;15000;Beras Cap Anak Daro;AR
04/08/2020;14000;Beras Cap Anak Daro;SR
04/08/2020;14500;Beras Cap Anak Daro;CP
04/08/2020;15000;Beras Cap Anak Daro;AR
05/08/2020;14000;Beras Cap Anak Daro;SR
05/08/2020;14500;Beras Cap Anak Daro;CP
05/08/2020;15000;Beras Cap Anak Daro;AR
06/08/2020;14000;Beras Cap Anak Daro;SR
06/08/2020;14500;Beras Cap Anak Daro;CP
06/08/2020;15000;Beras Cap Anak Daro;AR
07/08/2020;14000;Beras Cap Anak Daro;SR
07/08/2020;14500;Beras Cap Anak Daro;CP
07/08/2020;15000;Beras Cap Anak Daro;AR
10/08/2020;14000;Beras Cap Anak Daro;SR
10/08/2020;14500;Beras Cap Anak Daro;CP
10/08/2020;15000;Beras Cap Anak Daro;AR
11/08/2020;14000;Beras Cap Anak Daro;SR
11/08/2020;14500;Beras Cap Anak Daro;CP
11/08/2020;15000;Beras Cap Anak Daro;AR
12/08/2020;14000;Beras Cap Anak Daro;SR
12/08/2020;14500;Beras Cap Anak Daro;CP
12/08/2020;15000;Beras Cap Anak Daro;AR
13/08/2020;14000;Beras Cap Anak Daro;SR
13/08/2020;14500;Beras Cap Anak Daro;CP
13/08/2020;15000;Beras Cap Anak Daro;AR
14/08/2020;14000;Beras Cap Anak Daro;SR
14/08/2020;14500;Beras Cap Anak Daro;CP
14/08/2020;15000;Beras Cap Anak Daro;AR
17/08/2020;14500;Beras Cap Anak Daro;CP
18/08/2020;14000;Beras Cap Anak Daro;SR
18/08/2020;14500;Beras Cap Anak Daro;CP
18/08/2020;15000;Beras Cap Anak Daro;AR
19/08/2020;14000;Beras Cap Anak Daro;SR
19/08/2020;14500;Beras Cap Anak Daro;CP
19/08/2020;15000;Beras Cap Anak Daro;AR
20/08/2020;14500;Beras Cap Anak Daro;CP
24/08/2020;14000;Beras Cap Anak Daro;SR
24/08/2020;14500;Beras Cap Anak Daro;CP
24/08/2020;15000;Beras Cap Anak Daro;AR
25/08/2020;14000;Beras Cap Anak Daro;SR
25/08/2020;14500;Beras Cap Anak Daro;CP
25/08/2020;15000;Beras Cap Anak Daro;AR
26/08/2020;14000;Beras Cap Anak Daro;SR
26/08/2020;14500;Beras Cap Anak Daro;CP
26/08/2020;15000;Beras Cap Anak Daro;AR
27/08/2020;14000;Beras Cap Anak Daro;SR
27/08/2020;14500;Beras Cap Anak Daro;CP
27/08/2020;15000;Beras Cap Anak Daro;AR
28/08/2020;14000;Beras Cap Anak Daro;SR
28/08/2020;14500;Beras Cap Anak Daro;CP
28/08/2020;15000;Beras Cap Anak Daro;AR
31/08/2020;14000;Beras Cap Anak Daro;SR
31/08/2020;14500;Beras Cap Anak Daro;CP
31/08/2020;15000;Beras Cap Anak Daro;AR
01/09/2020;14000;Beras Cap Anak Daro;SR
01/09/2020;14500;Beras Cap Anak Daro;CP
01/09/2020;15000;Beras Cap Anak Daro;AR
